url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/14473438-delivery-rider-part-time-dominos-tanah-merah,14473438,Delivery Rider (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/24282412-graduate-employability-program-mcdonalds-pandu-lalu-petronas-tanah-merah,24282412,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/22956001-technical-assistant-mcdonalds-pandu-lalu-petronas-tanah-merah,22956001,Technical Assistant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/2313422-juruteknik-mcdonalds-pandu-lalu-petronas-tanah-merah,2313422,JuruTeknik ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798852-barista-mcdonalds-pandu-lalu-petronas-tanah-merah,1798852,Barista ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798853-kru-restaurant-mcdonalds-pandu-lalu-petronas-tanah-merah,1798853,Kru Restaurant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798854-guest-experience-leader-mcdonalds-pandu-lalu-petronas-tanah-merah,1798854,Guest Experience Leader ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798855-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-tanah-merah,1798855,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/19894945-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-tanah-merah,19894945,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,2 years ago,Any Skill,part-time-tanah-merah
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-tanah-merah
https://www.maukerja.my/job/14473427-delivery-rider-full-time-dominos-tanah-merah,14473427,Delivery Rider (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473443-crew-member-part-time-dominos-tanah-merah,14473443,Crew Member (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473433-crew-member-full-time-dominos-tanah-merah,14473433,Crew Member (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/17979669-health-advisor-tanah-merah-kelantan,17979669,Health Advisor ( TANAH MERAH KELANTAN ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473438-delivery-rider-part-time-dominos-tanah-merah,14473438,Delivery Rider (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/24282412-graduate-employability-program-mcdonalds-pandu-lalu-petronas-tanah-merah,24282412,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/22956001-technical-assistant-mcdonalds-pandu-lalu-petronas-tanah-merah,22956001,Technical Assistant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/2313422-juruteknik-mcdonalds-pandu-lalu-petronas-tanah-merah,2313422,JuruTeknik ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798852-barista-mcdonalds-pandu-lalu-petronas-tanah-merah,1798852,Barista ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798853-kru-restaurant-mcdonalds-pandu-lalu-petronas-tanah-merah,1798853,Kru Restaurant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798854-guest-experience-leader-mcdonalds-pandu-lalu-petronas-tanah-merah,1798854,Guest Experience Leader ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798855-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-tanah-merah,1798855,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/19894945-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-tanah-merah,19894945,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,2 years ago,Any Skill,part-time-tanah-merah
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-tanah-merah
https://www.maukerja.my/job/14473427-delivery-rider-full-time-dominos-tanah-merah,14473427,Delivery Rider (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473443-crew-member-part-time-dominos-tanah-merah,14473443,Crew Member (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473433-crew-member-full-time-dominos-tanah-merah,14473433,Crew Member (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/17979669-health-advisor-tanah-merah-kelantan,17979669,Health Advisor ( TANAH MERAH KELANTAN ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473438-delivery-rider-part-time-dominos-tanah-merah,14473438,Delivery Rider (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/24282412-graduate-employability-program-mcdonalds-pandu-lalu-petronas-tanah-merah,24282412,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/22956001-technical-assistant-mcdonalds-pandu-lalu-petronas-tanah-merah,22956001,Technical Assistant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/2313422-juruteknik-mcdonalds-pandu-lalu-petronas-tanah-merah,2313422,JuruTeknik ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798852-barista-mcdonalds-pandu-lalu-petronas-tanah-merah,1798852,Barista ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798853-kru-restaurant-mcdonalds-pandu-lalu-petronas-tanah-merah,1798853,Kru Restaurant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798854-guest-experience-leader-mcdonalds-pandu-lalu-petronas-tanah-merah,1798854,Guest Experience Leader ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798855-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-tanah-merah,1798855,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/19894945-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-tanah-merah,19894945,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,2 years ago,Any Skill,part-time-tanah-merah
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-tanah-merah
https://www.maukerja.my/job/14473427-delivery-rider-full-time-dominos-tanah-merah,14473427,Delivery Rider (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473443-crew-member-part-time-dominos-tanah-merah,14473443,Crew Member (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473433-crew-member-full-time-dominos-tanah-merah,14473433,Crew Member (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/17979669-health-advisor-tanah-merah-kelantan,17979669,Health Advisor ( TANAH MERAH KELANTAN ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473438-delivery-rider-part-time-dominos-tanah-merah,14473438,Delivery Rider (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/24282412-graduate-employability-program-mcdonalds-pandu-lalu-petronas-tanah-merah,24282412,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/22956001-technical-assistant-mcdonalds-pandu-lalu-petronas-tanah-merah,22956001,Technical Assistant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/2313422-juruteknik-mcdonalds-pandu-lalu-petronas-tanah-merah,2313422,JuruTeknik ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798852-barista-mcdonalds-pandu-lalu-petronas-tanah-merah,1798852,Barista ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798853-kru-restaurant-mcdonalds-pandu-lalu-petronas-tanah-merah,1798853,Kru Restaurant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798854-guest-experience-leader-mcdonalds-pandu-lalu-petronas-tanah-merah,1798854,Guest Experience Leader ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798855-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-tanah-merah,1798855,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/19894945-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-tanah-merah,19894945,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,2 years ago,Any Skill,part-time-tanah-merah
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-tanah-merah
https://www.maukerja.my/job/14473427-delivery-rider-full-time-dominos-tanah-merah,14473427,Delivery Rider (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473443-crew-member-part-time-dominos-tanah-merah,14473443,Crew Member (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473433-crew-member-full-time-dominos-tanah-merah,14473433,Crew Member (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/17979669-health-advisor-tanah-merah-kelantan,17979669,Health Advisor ( TANAH MERAH KELANTAN ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473438-delivery-rider-part-time-dominos-tanah-merah,14473438,Delivery Rider (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/24282412-graduate-employability-program-mcdonalds-pandu-lalu-petronas-tanah-merah,24282412,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tanah Merah, Kelantan",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/22956001-technical-assistant-mcdonalds-pandu-lalu-petronas-tanah-merah,22956001,Technical Assistant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/2313422-juruteknik-mcdonalds-pandu-lalu-petronas-tanah-merah,2313422,JuruTeknik ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Tanah Merah, Kelantan","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798852-barista-mcdonalds-pandu-lalu-petronas-tanah-merah,1798852,Barista ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798853-kru-restaurant-mcdonalds-pandu-lalu-petronas-tanah-merah,1798853,Kru Restaurant ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,100 - MYR1,500 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,100 - MYR1,500 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798854-guest-experience-leader-mcdonalds-pandu-lalu-petronas-tanah-merah,1798854,Guest Experience Leader ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Tanah Merah, Kelantan","MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/1798855-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-tanah-merah,1798855,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,5 years ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/19894945-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-tanah-merah,19894945,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Tanah Merah, Kelantan",Undisclosed,2 years ago,Any Skill,part-time-tanah-merah
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-tanah-merah
https://www.maukerja.my/job/14473427-delivery-rider-full-time-dominos-tanah-merah,14473427,Delivery Rider (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Per Month",N/A,"Tanah Merah, Kelantan","Up to MYR2,500 Per Month",2 months ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473443-crew-member-part-time-dominos-tanah-merah,14473443,Crew Member (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,Up to MYR8.72 Per Hour,N/A,"Tanah Merah, Kelantan",Up to MYR8.72 Per Hour,a month ago,Any Skill,part-time-tanah-merah
https://www.maukerja.my/job/14473433-crew-member-full-time-dominos-tanah-merah,14473433,Crew Member (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR1,700 Per Month",N/A,"Tanah Merah, Kelantan","Up to MYR1,700 Per Month",a month ago,Any Skill,part-time-tanah-merah
